Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact,State
Devi Priya Life Care Hospital,"58-1-433/2,Main Road,Santhinagar,Nad Post",Unknown,Government,9280388839,Sikkim
Devi Super Speciality Eye Hospital Private Limited,"#434, 18Th Main, 80 Feet Road, 6Th Block Bus Depot. Block,Koramangala. Bangalore-560095","Few Left, Book Now",Private,9056463767,Jammu
Devishiv Hospital,"B-328-B, Sector B, Mahanagar",Unknown,Government,9496240439,Bihar
Devpushp Hospital,"Devpushp Complex,Tulsidham Cross Road,Manjalpur",Unknown,Government,9336675421,Kerala
Devyane Hospital,"Kalakuan, Manumarg, Infront Of Bsnl Colony.",Unknown,Government,9196768501,Karnataka
Dewang Nursing Home (P) Ltd,"Bhaveshwar Market, 2Nd Floor,M.G. Road, Ghatkopar (E).",Unknown,Government,9816543111,Meghalaya
Dewas Hospital And Research Centre,"231,A.B. Road,Dewas",Unknown,Government,9617703526,Rajasthan
Dey'S Hospital,"491, Kazi Khera, Lal Bangla, Kanpur, Uttar Pradesh-208007, Near Poonam Talkies",Limited Seats,Municipal,9756808608,Uttar Pradesh
Dhama Clinic & Medical Centre,"C-46, Sector-34, Noida","Few Left, Book Now",Private,9487505655,Bihar
Dhamdhere Hospital,"Sanaswadi Poona Nagar Road,Talshirur",Unknown,Government,9700780405,Haryana
Dhami Eye Care Hospital,# 82-B Kitchlu Nagar Ludhiana - 141001,Unknown,Government,9951193452,Uttar Pradesh
Dhanshree Hospital,"Gp-66, G Block, Midc,Chinchwad, Pune-411019.","Few Left, Book Now",Private,9493718422,Kerala
Dhanush Hospital,Mahaveer Road Bagalkot,Unknown,Government,9429583793,Nagaland
Dhanush Hospital,"Behind Municipal Park,N.R.Extension,Chintamani,",Unknown,Government,9134477526,Jharkhand
Dhanush Hospital,"#63, Byraveshwara Nagar 2Nd Main, Nagarbhavi Main Raod, Bangalore-560072","Few Left, Book Now",Private,9749736189,Uttar Pradesh
Dhanvantari Fracture Orthopaedic & Arthroscopy Cntre,"# 1717,B 7Th Lane, Rajaranpuri, 7Th Lane, Maharashtra",Unknown,Government,9391107894,Maharashtra
Dhanvantari Hospital,"2Nd Floor,Nivedanam Complex,Soma Talaw Cross Road,Dabhoi Ring Road",Unknown,Government,9814358692,Nagaland
Dhanvantari Hospital (P) Ltd.,"Thakkar Palza, Kulgaon (E), Badlapur, Thane - 421503Badlapur, Thane - 421 503.","Few Left, Book Now",Private,9405239666,Punjab
Dhanvantri Children'S Hospital & Nicu,2Nd Floor Mohan Heritage Building Opp Tmc Office Panchpakhadi,Unknown,Government,9355286333,Gujarat
Dhanvantri Hospital & Research Centre,"67/56-Manasarower,Heerapath",Unknown,Government,9346796143,Punjab
Dhanvantri Jeevan Rekha Ltd,Umber One Near Gol Market,Unknown,Government,9208100029,Uttarakhand
Dhanwantari Hospital,"Krishna Prasad Society Plot # 42, Rambaug Colony, Paud Road",Unknown,Government,9084060325,Karnataka
Dhanwantari Medical,"Tilak Road, Pradhikaran, Maharashtra, Pune","Few Left, Book Now",Private,9720077251,Maharashtra
Dhanwantari Tomer Hospital,"35-A-2/11, Rampur Bagh.",Unknown,Government,9945231478,Madhya Pradesh
Dhanwantary Hospital & Iccu,"545, Netaji Subhash Road, Mulund West, Mumbai","Few Left, Book Now",Private,9379245957,Jammu
Dhanwantri Hospital & Research Centre,"New Sagar Road, Mansarovar Jaipur ,",Limited Seats,Municipal,9984229105,Delhi
Dharam Hospital,"#2040, Sector-15C, Near Traffic Lights",Unknown,Government,9602897259,Mizoram
Dharan Hospital,"14,Seela Naicken Patti By Pass. On A National Highway Salem",Available,Government,9740900448,Manipur
Dharani Nursing Home,"Doctirs Colony, Miryalaguda.",Unknown,Government,9582451128,Meghalaya
Dharma Orthopedic Center,"D Building Om Mahavir Society,Irani Market Yerwada",Unknown,Government,9002547592,Nagaland
Dharmashila Cancer Hospital & Research Centre,"Dharmashila Marg,Vasundhara Enclavevasundhara Enclave, Delhi - 96","Few Left, Book Now",Private,9791860682,Delhi
Dhawan Hospital,"Plot-1, Sector-7, Panchkula, Haryana",Unknown,Government,9506555086,Haryana
Dhiviya Nursing Home,"306, Chennimalai Road, Kangayam",Unknown,Government,9344287416,Arunachal Pradesh
Dhruva Eye Hospital & Laser Centre,Rashtriya Shala Main Road,Unknown,Government,9715610161,Mizoram
Dhulabapu Kokare Memorial Hospital,"Malavarchi Devi, Ring Road,Baramati",Unknown,Government,9980792203,Meghalaya
Dhulipalla Hospital Guntur,"12-25-179,Kothapet, Opp Sivalayam, Guntur-522001",Unknown,Government,9115511636,Kashmir
Dhvani Ent Hosptial,Near G.P.O. Raopura.,Unknown,Government,9341518141,West Bengal
Dhwani General Hospital,"#28,New Kamlesh Society,Odhav",Unknown,Government,9212353571,Uttar Pradesh
Diagram Health Care,"4, R.M.V.Extensionmekhri Circle",Unknown,Government,9002987483,Karnataka
Dilkusha Nursing Home Pvt Ltd,94A Dilkusha Street Kolkata,Available,Government,9580751776,Himachal Pradesh
Dinesh Nursing Home,"No.6-1-33,West Street,Viswanathapuram, Madurai-625014",Unknown,Government,9961675979,Gujarat
Dipa Children Hospital&Micu,"Bhagwati Complex, Mahalaxmi Paladi.",Unknown,Government,9908863912,Nagaland
Disha Eye Hospital & Research Centre Pvt Ltd,"88(63A) Ghosh Para Road, Barrackpore",Unknown,Government,9887435403,Puducherry
Disha Eye Hospital (Hoogly) Pvt Ltd,"14.G.T. Road, Shedraphully, West Bengal",Unknown,Government,9807488004,West Bengal
Dispur Polyclinic & Nursing Home,Ganeshguri Chariali,Unknown,Government,9957990151,Rajasthan
Divakars Global Hospitals,"No.220, 9Th Cross, J.P.Nagar 2Nd Phase, Bangalore-560078","Few Left, Book Now",Private,9479824061,Kerala
Divine Heart Hospital & Resesarch Centre,"Virajkhand-5,Gomti Nagar",Unknown,Government,9576020106,Karnataka
Divine Medical Centre,Wadakkancherywadakkanchery,Unknown,Government,9210360306,Uttarakhand
Divine Multispeciality Hospital & Research Centre,"Plot No 21, Near Ekta Society, Sector 6, Ghansoli, Navi Mumbai-400701","Few Left, Book Now",Private,9175700519,Uttar Pradesh
Divine Nursing Home Pvt Ltd,"11A, Abinash Chandra Banerjee Lane,Beliaghata.",Unknown,Government,9736490531,Manipur
Divine Speciality Hospital,"#110,6H Main,I.T.I Layout,Benson Town Post",Unknown,Government,9220030077,Jharkhand
Divya Eye Clinic,"F-2,Shakun Apts, Above Bank Of Maharashtra ,Sanghavinagar,Aunoh,Pune","Few Left, Book Now",Private,9690987904,Maharashtra
Divya Prabha Eye Hospital,"Padinjatil Lane,Kumarapuram",Unknown,Government,9598748312,Punjab
Divya Prastha Hospital,"Rz-37,Main Road,Palam Colony,",Unknown,Government,9807716360,Assam
Divyadrishti Eye Hosptial,"996/22, Service Road,Rpc Layout, Bangalore","Few Left, Book Now",Private,9279248685,Arunachal Pradesh
Dm Eye Care Delhi Pvt Ltd (Aster),5E/08 Railway Road Near Neelam Chowk,Unknown,Government,9212142278,Karnataka
Dm Wims ( Wayanad Institute Of Medical Secience),"Naseera Nagar, Meppadi, Wayanda, Kerala",Unknown,Government,9604644500,Kerala
Doctor House,"Jail Road, Mehsana",Unknown,Government,9729754959,Punjab
Doctor Rex'S Hospital,"# 37, Millers Road, Kilpauk",Unknown,Government,9495783106,West Bengal
Dogra Nursing Home & Endoscopy Centre,House No -8 Sector-19 A,Unknown,Government,9151134998,Telangana
Dolphin Children Hospital,"17-87,Road #1,Kamalanagar,Chaitanyapuri,Dilsukhnagar",Unknown,Government,9001803220,Jammu
Domjur Nursing Home,Attached To Hazra Building,Unknown,Government,9809905090,Karnataka
Doshi Nursing Home,"Amrut Kunj, Near Rly Station, Mg Road, Ghatkopar East-400077",Unknown,Government,9627622583,Manipur
Down Town Hospital Ltd,"G.S. Road, Dispur",Unknown,Government,9343110171,Maharashtra
Dr A.M Vaze,Shivaji Park,Unknown,Government,9892811022,Bihar
Dr Agarwal'S Eye Hospital Ltd,"19, Cathedral Road",Unknown,Government,9747219589,Nagaland
Dr Agarwal'S Eye Hospital Ltd (Nanganallur),"Ophthalmology Dept Margreet Sydney Hospital No 13, 2Nd Street Nanganallur Chennai-600061","Few Left, Book Now",Private,9302890878,Punjab
Dr Agarwal'S Healthcare Ltd,"18-92/C,D,E, S.S Towers Chaitanyapuri X Road Dilsukhnagar-500060Dilsukhnagar",Unknown,Government,9787008832,Rajasthan
Dr Agarwal'S Healthcare Ltd,"Matarani Sensation 8-1-386, 387-8467 Rastrapati Road Secunderabad-500003",Unknown,Government,9584562771,Jammu
Dr Agarwal'S Healthcare Ltd.,"Kade, Complex No 869, 2Nd Stage, Wcr 3Rd Stage, Basaveshwaranagar",Unknown,Government,9673769058,Arunachal Pradesh
Dr Agarwals Eye Hospital Ltd,"#107, A Block 3Rd Avenue Anna Nagar Near",Unknown,Government,9564586688,Chhattisgarh
Dr Agarwals Eye Hospital Ltd,"#33,7Th Avenue,Ashok Nagar",Unknown,Government,9385557697,Bihar
Dr Agarwals Eye Hospital Ltd,"No-6, Duraisamy Street Tdk Towers Tambaram",Unknown,Government,9321027272,Himachal Pradesh
Dr Agarwals Eye Hospital Ltd,"#32-B,Indiragandhi Road Opp Taluk Office",Unknown,Government,9843591081,Kerala
Dr Agarwals Eye Hospital Ltd (Dharmapuri),"136 1St Floor,Nethaji Bye Pass Road",Unknown,Government,9875759966,Manipur
Dr Agarwals Eye Hospital Ltd (Gopalapuram),Retina Foudation No 31 1St Street Gopalapuram,Unknown,Government,9494437533,Bihar
Dr Agarwals Eye Hospital Ltd (Kumbakonam),"2/381, Indiranagar,Kumbakonam",Unknown,Government,9303591005,Bihar
Dr Agarwals Eye Hospital Ltd (Periyar Nagar),"B-63, Siva Elango Salai 70Feet Road, Periyar Nagar",Unknown,Government,9682748557,Assam
Dr Agarwals Eye Hospital Ltd (Salem),"#114/7,Gandhi Road,Salem",Available,Government,9920851681,Bihar
Dr Agarwals Eye Hospital Ltd (Villupuram),"#19, Trichy Trunk Road,Near To Villupuram Signal",Unknown,Government,9515444062,Uttarakhand
Dr Andals Lakshmi Fertility Reserch & Laparoscopic Surgical Centre,"16-2-94, Pogathota, Near Raghava Cini Complex, Nellore-524001",Unknown,Government,9228243697,Karnataka
Dr Baliga Nursing Home,"Paras, S.V.Road, Goregaon W-400062Mumbai-400062","Few Left, Book Now",Private,9223630531,Delhi
Dr Bandal Arogya Hospital,"1St Floor, Golden Park, Opp.Navneet Motors, L.B.S. Marg, Thane West","Few Left, Book Now",Private,9006163530,Madhya Pradesh
Dr D Y Patil Hospital & Research Centre,"Sector-5,Nerul",Unknown,Government,9629340399,Goa
Dr Handral Nursing Home,"No.14,Rajendra Nagar,",Unknown,Government,9985349308,Maharashtra
Dr Kamakshi National Hospital,No 12 Jaffer Serang Streetsecond Line Beach Chennai,"Few Left, Book Now",Private,9844579262,Bihar
Dr Kandoi Ashirwad Hospitals,Ganesh Ashish Apt Vadavli Section Ambernath(E),Unknown,Government,9586680911,Himachal Pradesh
Dr Kundan Lal Hospital,"Ahmedgarh,",Unknown,Government,9708726704,Himachal Pradesh
Dr Lankesh Eye Hospital Pvt Ltd,No-2 41St Street. 6Th Avenue. Ashok Nagarashok Nagar,Unknown,Government,9332022183,Jharkhand
Dr Lodaya Hospital,"Ashwini Nagar,Just Behind Bus Stand,",Unknown,Government,9343299018,Sikkim
Dr M Prakash Hospital & Medical Research Centre,Begum Bridge Road Gic Near Meerect,Unknown,Government,9720464444,Gujarat
Dr Mahadevappa Eye Laser Hospital,"15Th Cross, S.S. Puram, (Horticulture Office Road) Tumkur-572102",Unknown,Government,9030265322,Uttarakhand
Dr Manoharan Hospital,"No.1210,Thadagam Road,Near To Aavin Milk Company,R.S. Puram,",Unknown,Government,9534625646,Tripura
Dr Nutan Shah Eye Hospital & Advanced Phaco Centre,"1, Devdeep Complex, Delux Cross, Nizampura",Unknown,Government,9486433053,Andhra Pradesh
Dr Pattabhirama Rao (Siromani Hospital),"No.4-1-7,Ramnagar,Kothagudem-507101",Unknown,Government,9380933272,West Bengal
Dr Rama Sofat Hospital,"No.435,College Road,Adjacent Malwa Girls Khalsa School,",Unknown,Government,9955304919,Jharkhand
Dr Ramesh Hospital For Piles & Proctology,410 Contour Road Gokulam Mysore -570002,Available,Government,9501630628,Uttar Pradesh
Dr Rane Hospital (P) Ltd,"37,Pestom Sagar, Chembur37, Pestom Sagar, Chembur",Unknown,Government,9273882324,Tamil Nadu
Dr Rani Menon'S Eye Clinic,"18/470, Civil Lane Road, Chungam, Thrissur Kerala-680004",Unknown,Government,9047460824,Kerala
Dr Sreedhar'S Kidney & Multispeciality Hospital,"No.13-6-437/1/L/1,Khaderbagh,Nanal Nagar,",Unknown,Government,9738686648,Nagaland
Dr Ysr Memorial Hospital,"#12-2-878, 1Cross, Sai Nagar, Anantapur-515001 (A.P.)",Unknown,Government,9748004786,Jammu
Dr. A. Ansari Hospital,"# 20, Naganathar Sannadhi, Nagapattinam, Tamilnadu",Unknown,Government,9471281934,Puducherry
Dr. A. Govindarajan Eye Hospitals,"No: 6, Officer'S Colony, Puthur Tiruchirapalli-620017Trichy",Unknown,Government,9881029158,Goa
Dr. Agarwal'S Eye Hospital (Rep By Dr. Agarwal'S Health Care Ltd.),"#6-3-712/80 And 81, Punjagutta Colony, Hyderabad, A.P.-500082","Few Left, Book Now",Private,9648464523,Madhya Pradesh
Dr. Agarwal'S Eye Hospital (Rep. By Dr. Agarwal'S Health Care Ltd.),"Bbc Tower, Link Road Square, Madhupatna, Cuttack-753010",Limited Seats,Municipal,9364511284,Telangana
Dr. Ajayan'S Multispeciality Hospital,"Plot #6, Sector-9, Opposite Rf Naik School Ground, Koparkhairane",Unknown,Government,9251944874,Nagaland
Dr. Akbar Eye Hospital,#12-3-2 346Th Lane Sai Nagar Ananthapur,Unknown,Government,9292520325,Uttarakhand
Dr. Anji Reddy Multi-Speciality Hospital Pvt Ltd,"16/682, Piduguralla Main Road.",Unknown,Government,9766529411,Gujarat
Dr. Arvind Vision Care,"#61, Reddy Palayam Road, Mogappair West, Chennai, Tamilnadu","Few Left, Book Now",Private,9045076439,Puducherry
Dr. Ashish Dave Eye Hospital,"'Aakash' Complex, Station Road, Maninagarahmedabad-380008.","Few Left, Book Now",Private,9640592360,Meghalaya
Dr. Ashit Shah Eye Hospital,"# 202, Shaival Complex, Opp:Chandanbala Tower, Paldipaldi, Ahmedabad-380007.","Few Left, Book Now",Private,9203035829,Arunachal Pradesh
Dr. Ashok Mittal Hospital,"# 249-A,Main Road, Vaishali Nagar.",Unknown,Government,9526043570,Chhattisgarh
Dr. Ashok Patil Clinic,"Kinikar Patil Estate, Vishrambag,Sangli",Unknown,Government,9491333453,Kashmir
Dr. Atray Eye Hospital,"19-20, Townhall Link Road, Udaipur, Near Corporation Bank, Rajasthan, Udaipur",Unknown,Government,9797554968,Rajasthan
Dr. Atul Shah Eye Hospital,"3Rd Floor, Narottam Complex,Bhuyangdev Cross Road,Ahmedabad","Few Left, Book Now",Private,9974835608,Kerala
Dr. Bawaris Nursing Home,"Parbatia Road, Tinukin.",Unknown,Government,9737935366,Kerala
Dr. Bedekars Hospital,"Shiu-Shakti Anupade, Thane.","Few Left, Book Now",Private,9643951435,Kashmir
Dr. Bhandare Hospital,Fontainhas Panaji Northgoa,Available,Government,9661131726,Goa
Dr. Bidari'S Ashwini Hospital,B.L.D.E. Road,Unknown,Government,9427950311,Haryana
Dr. Bothra'S Hospital,"Ramkrishna Building,1St Floor, Gadav Naka, Bhandup West",Unknown,Government,9957040179,Meghalaya
Dr. Caeiro Bicholim Polyclinic Hospital,"Sonarpeth, Bicholim,North-Goa, Goa-403504",Available,Government,9454661164,Goa
Dr. Deepak Hospital,"Savedi Road, Ahmednagar",Unknown,Government,9201610541,Meghalaya
Dr. Dijesh Shah'S Meru Nursing Home,"75 B, Mahila Welfare Society,Chittaranjan Chowk, Vidhyanagar, Bhuvnagar, Gujarat",Unknown,Government,9173433011,Gujarat
Dr. Eye Hospital,"1St Floor, Viral Apts,S V Road,S.V. Road,Anderi West, Mumbai.","Few Left, Book Now",Private,9551901449,Puducherry
Dr. G.C. Hospital,"#30, North Pradakshanam Road, Karur, Tamilnadu.",Unknown,Government,9855618312,Odisha
Dr. G.K. Srivastava Hospital Pvt Ltd,"13-D, Rampur Garden.",Unknown,Government,9600362122,Mizoram
Dr. Gandhi Orthopaedic Hospital,"Vidyanagar Main Road, Sarvoday Sankool.",Unknown,Government,9978115949,Meghalaya
Dr. Gandhi'S Nursing Home Pvt Ltd,"101/102/202, Mangamurti Chs, Off.Bole Road, Mumbai-400028","Few Left, Book Now",Private,9259777321,Bihar
Dr. Gokavi Maternity & General Hospital,Karwar Road Hubli,Unknown,Government,9778327778,Puducherry
Dr. Govind Gupta Hospital,"#135, Krishna Nagar",Unknown,Government,9321206796,Karnataka
Dr. Grace George Hospital,"# 34, Udayavar Koil Street,Thirumizhisai, Poonamalee.",Unknown,Government,9274246233,Delhi
Dr. H.B. Eye Hospital,"Surendranagar,Near Milan Cinema, Gujarat",Unknown,Government,9454684781,Gujarat
Dr. Ithape Hospital,"New Nagad Road, Sangamner,Ahmednagar, Pune-422605.","Few Left, Book Now",Private,9481452071,Himachal Pradesh
Dr. Jacquline Divyananda (Divya Hospital),"# 20, Medavakkam Main Road, Madipakkam",Unknown,Government,9274476224,Mizoram
Dr. Jawaharlal Rohatgi Smarak Netra Chikitsalaya,"117/52, Sarvodaya Nagar,Near Bhoot Nath Mandhir.",Unknown,Government,9753764591,Tamil Nadu
Dr. Jayant Shah Hospital,"Santram Road, Nadiad,Kheda, Gujarat-387001.",Unknown,Government,9628153663,Gujarat
Dr. Jayesh C. Gandhi Surgical Hospital,"Old Junction Road, B/H. Boston Guest House.",Unknown,Government,9479039977,Jharkhand
Dr. Jeyasekharan Medical Trust,"#1159, K.P. Road, Nagerkoil.",Unknown,Government,9692046548,Kerala
Dr. Jialal Memorial Hospital Pvt Ltd,"Opp. Medical College, Gate-2",Unknown,Government,9792110795,Assam
Dr. K.M. Nallaswamy Hospital,"#93, Power House Road,Erode",Unknown,Government,9535440006,Mizoram
Dr. Kamra'S Urinary & Surgical Diseases Centre,"8, Inder Road,",Unknown,Government,9225476611,Delhi
Dr. Kannure Hospital & Iccu,F-2 D-2 Sector-9Main Road Vashi,Unknown,Government,9251278268,Haryana
Dr. Kantak'S Hospital,Bishop Rebello Road,Unknown,Government,9571232569,Jharkhand
Dr. Khunger Eye Care & Research Center Pvt. Ltd.,"#1109, Near Post Office Opp To Pnb Ramganj, Belwar Road, Ajmer ,Rajasthan",Unknown,Government,9564797341,Rajasthan
Dr. Khunger'S Eye Care Centre,"Beawar Road, Near Post Office, Ramganj",Unknown,Government,9753303368,Gujarat
Dr. Kothari Eye Hospital,"G-31, Makarwali Road, Ajmer",Unknown,Government,9430448359,Kashmir
Dr. Kulkarni Hospital,"10A 11 Kalyan Peth,Junnar","Few Left, Book Now",Government,9687716607,Uttarakhand
Dr. Kumaraswami Health Centre ( A Unit Of Indian Medical Centre),"N.H. Road # 47, 1/4C,1/4D,1/4E Perumalpuramperumalpuram, Kanyakumari.",Unknown,Government,9745735777,Madhya Pradesh
Dr. Kunhalu'S Nursing Home,"T.D.Road, Ernakulamernakulam",Unknown,Government,9837340676,Gujarat
Dr. Loganathan Orthopaedic Hospital,"606/A, Mettur Main Road, Bhavani,",Unknown,Government,9446220840,Puducherry
Dr. M.L.Gupta Memorial Centre,"B.P. 5E/4, Railway Road, Nit,Nit - Faridabad,","Few Left, Book Now",Private,9301744059,Puducherry
Dr. Mahesh Rathod Hospital,"1, Sardarnagar, Nr. Astran Chowk, Rajkot",Limited Seats,Municipal,9296900456,Assam
Dr. Malathi Manipal Hospital,"45/1, 45Th Cross, 9Th Block, Jayanagar, Bangalore-560069","Few Left, Book Now",Private,9993594794,Sikkim
Dr. Manish Patankars Nath Hospital,"101, A-Wing, Golden Havens Apartments, Kolbad Road, Khopat, Thana West-400601",Unknown,Government,9263800848,Arunachal Pradesh
Dr. Manohara Sai Gowda Memorial Hospital,"Nh-4, Opposite Inspection Bungalow, Mulbagal",Unknown,Government,9412536132,Chhattisgarh
Dr. Mehta'S Multispeciality Hospital Pvt Ltd.,"2 (E), Mc. Nicholas Road, Chennai, Opposite To Chetpet Police Station.","Few Left, Book Now",Private,9657272712,West Bengal
"Gokuldas Tejpal Hospital, Fort","Chhatrapati Shivaji Terminus Area, Fort","Few Left, Book Now",Govt,"22621464, 22621465,22630552 Dr Chikhalkar - 9969037650",Gujarat
ENT Hospital,"Maharshi Dadhichi Marg, Azad Maidan",Limited Seats,BMC,"22042526, 22043322, 28480065 Dr Deepika Rana - 9892727831",Chhattisgarh
St George Hospital,"Chhatrapati Shivaji Terminus Area, Fort","Few Left, Book Now",Govt,22620242/44/45/46/47 Dr Akash Khobragade - 9702658822,Haryana
Cama & Albless Hospital,"Dhobi Talao, Chhatrapati Shivaji Terminus Area","Few Left, Book Now",Govt,"22611648, 22611654, 22611871 DrTushar Palve - 9821301454",Odisha
INS Ashwini Hospital,"Navy Nagar, Colaba,",Conditional,Defence,"22151641, 22620390, 22143650 Dr Vivek Hande - 9869409721",Himachal Pradesh
Bombay Hospital,"Near Liberty Cinema, New Marine Lines,",Available,Private,"22067676, 22062082 Dr Rajkumar Patil - 982062804",Himachal Pradesh
Indu Clinic,"Wodehouse Road, ColabaÂ ",Available,Private,"22182323, 22183131 Dr Sameer Trivedi - 9820060698",Maharashtra
Noor Hospital,Masjid Bunder,Available,PrivateÂ ,"Dr Khatija 9320112252, 23463500",Karnataka
Habib Hospital,"Jail Road, Near Imam Husain Chowk",Available,PrivateÂ ,"23757573, 23788100",Kashmir
Dholkawala Maternity and Nursing Home,"Mohammed Ali Rd, Masjid Bandar",Available,PrivateÂ ,"23412635, 23429607",Kashmir
M H Saboo Siddique Hospital,"Imamwada Road, Opp. Mughal Masjid",Available,PrivateÂ ,23767343 Dr Nasir 98223231077,Assam
Haji Karim Maternity and Child Care,"Mohammed Ali Rd, Masjid Banda",Available,PrivateÂ ,"2341130, 8879007713",West Bengal
Breach Candy Hospital Trust,"Breach Candy, Cumballa Hill",Available,PrivateÂ ,23671888/23667788,Kashmir
Bhatia Hospital Multidisciplinary,"Tardeo Road,",Available,PrivateÂ ,9820276222/8879788180,Himachal Pradesh
Jaslok Hospital & Research Centre,"IT Colony, Tardeo",Available,PrivateÂ ,40173010/40173348/9820548,Meghalaya
Saifee Hospital,"15/17, Maharshi Karve Rd, opposite Charni Road, Charni Road East",Available,PrivateÂ ,67570212/67570111,Madhya Pradesh
Sir H.N.Hospital & Research Centre,Girgaon,Available,PrivateÂ ,7718830485/9958063262,Uttar Pradesh
The B.D.Petit Parsee Gen Hosp,"Bomanji Petit Marg, Cumballa Hill",Available,PrivateÂ ,9454966321,West Bengal
Apollo Speciaity Hospitals Pvt Ltd,"Behind Everest Building, Tardeo",Available,PrivateÂ ,9845381818,Sikkim
Bay-View Clinic,,Available,PrivateÂ ,9821270400/9819672997,Mizoram
Beramji's Hospital,,Available,PrivateÂ ,9920300043,Punjab
Bombay City Eye Institute And Research Centre,,Available,PrivateÂ ,43671011/9970589985,Andhra Pradesh
Bombay Maternity And Nursing Home,,Available,PrivateÂ ,9920955021,Rajasthan
Brahman Sabha Mhaskar Sutika Gruha & Gen N,,Available,PrivateÂ ,9920955021,Delhi
Chowpatty Maternity & Gyn Hospital,,Available,PrivateÂ ,9820289946,Kerala
Comfort Clinic Nursing Home,,Available,PrivateÂ ,79632568/9820548540/ 9820078357,Odisha
Conwest Jain Clinic Group Of Hosp,,Available,PrivateÂ ,23820909/9820010701,Punjab
Cumballa Hill Hospital & Heart Inst,,Available,PrivateÂ ,23803336,West Bengal
Dr Amonkar Hospital-Managed By P Patil Nurs. Home,,Available,PrivateÂ ,981973231,Madhya Pradesh
Dr Duru Shah Gynaec World,,Available,PrivateÂ ,9820074875,Telangana
Dr Gala's Nursing Home,,Available,PrivateÂ ,9821044727,Nagaland
Dr Garg Medical Centre,,Available,PrivateÂ ,9820087548/9820239958,Puducherry
Dr H D Gandhi Memorial Hospital,,Available,PrivateÂ ,9821469932/9821284555,Punjab
Dr Pathak Nursing Home,,Available,PrivateÂ ,23061323/9869013667/97732,West Bengal
Dr Vora's Maternity And Gynaecological Hosp,,Available,PrivateÂ ,9920244870/9820019539,Karnataka
Dr Vora's Nursing Home,,Available,PrivateÂ ,9920244870/9820019539,Jammu
Dr. N K Shah One Day Surgery Centre,,Available,PrivateÂ ,9820414641/9870538780,Rajasthan
Drushti Eye & Retina Centre,,Available,PrivateÂ ,23880505/23804086,Delhi
Fauziya Maternity & Nursing Home,,Available,PrivateÂ ,23008306,Madhya Pradesh
Foresight Eye Centre,,Available,PrivateÂ ,23610168/23614235,Chhattisgarh
Healing Hands Nursing Home,,Available,PrivateÂ ,8888066664/8888188885,Arunachal Pradesh
Hospital For Women Care Maternity And Gynaec Hosp,,Available,PrivateÂ ,23648759/23677874,Maharashtra
Infiniti Eye Hospital,,Available,PrivateÂ ,9820623163/69180000,Karnataka
Inkus Ivf Centre,,Available,PrivateÂ ,9930151703/23825253,Arunachal Pradesh
Joshi Nursing Home,,Available,PrivateÂ ,9833119723,Delhi
Kamala Polyclinic & Nusing Home,,Available,PrivateÂ ,23887865/23885985/9325523/513,Assam
Mehta Clinic,,Available,PrivateÂ ,23802764,Meghalaya
Motiben B Dalvi Hospital,,Available,PrivateÂ ,68126712,West Bengal
Narvekar Clinic,,Available,PrivateÂ ,23876081,West Bengal
Nicholson Eye Clinic,,Available,PrivateÂ ,9820724969,Rajasthan
Nisar Eye Hospital,,Available,PrivateÂ ,9820113436/23876583/23873941,Mizoram
Pai-Dhungat Nursing Home,,Available,PrivateÂ ,23828407/9820182464/98330 16128/9819484461/49635407,Jharkhand
Punjani Nursing Home,,Available,PrivateÂ ,23670785,Uttarakhand
SP Nursing Home And Polyclinic,,Available,PrivateÂ ,9819779027/9820047231,Goa
Sadhu-Kamal Eye Hospital,,Available,PrivateÂ ,8828841788/9930151932,Jharkhand
Shah Eye Clinic & Nursing Home,,Available,PrivateÂ ,23534458/23524284/9322510386,Bihar
St Elizabeth's Hospital,,Available,PrivateÂ ,61452119,Tamil Nadu
Ruxmani Lying-In Hospital,,Available,PrivateÂ ,23670785,Meghalaya
VADT Nursing Home,,Available,PrivateÂ ,23860580/23824757,Karnataka
Vasani Eye Clinic/Eyes Rvs,,Available,PrivateÂ ,9820088510,Mizoram
Vital Diagnostic Centre And Nursing Home,,Available,PrivateÂ ,9324595818,Rajasthan
Yogeshwar Surgical Nursing Home,,Available,PrivateÂ ,9004205948,Puducherry
Fertility Clinic,,Available,PrivateÂ ,9892768237/9820026087,Uttar Pradesh
Vascular Clinic,,Available,PrivateÂ ,9820281660,Tripura
Kasturba Hospital,"Sane Guruji Marg, Arya Nagar, Chinchpokli",Available,Municipal,23083901,Tripura
BYL Nair Hospital,"Topiwala National Medical College, RTO Colony, Mumbai Central",Available,Municipal,"23081490, 23081491",Uttarakhand
JJ Hospital,"J J Marg, Nagpada-Mumbai Central","Few Left, Book Now",Government,"23735555, 23731144",Nagaland
"Ambedkar Hospital (Central Railway Hospital), Byculla","Dr. Baba Saheb Ambedkar Road, Byculla East","Few Left, Book Now",Government,"23717246, 23717247",Bihar
"Jagjivanram Hospital, Western Rly","Maratha Mandir Marg, RBI Staff Colony, Mumbai Central","Few Left, Book Now",Government,"23017841, 23017860",Kerala
Prince Ali Khan Hospital,"Prince Ally Khan Hospital Rd, Tara Bagh, Mazgaon",Available,Private,"23777800, 23777900",Goa
