Hospital Name,Address,Availability,Type of Hospital/Health facility,Contact
Bejan Singh Eye Hospital Pvt Ltd,"No.2/1,313C,M.S.Road,Vettoornimadam,Nagercoil,",Unknown,Unknown,9626184190
Belaku Eye Hospitals Pvt Ltd,"#769, 1St Cross, Ring Road, Kengeri Upanagar, Bangalore-560060Kengeri Upanagara","Few Left, Book Now",Private,9474515471
Belgaum Cancer Hospital Pvt Ltd,"#9666A-2/D,Ashok Nagar, Belgaum-590010",Unknown,Unknown,9959427637
Belgaum Children'S Hospital Pvt Ltd,"1St Floor,Samsukha Complex,Khade Bazar",Unknown,Unknown,9882647574
Belle Vue Nursing Home,"Sejal, 1St Floor, New Link Road Off Veera Desai Road Andheriroad, Versova, Andheri(W)","Few Left, Book Now",Private,9349707947
Belle Vue'S Cambridge Hospital,"18/17, Cambridge Road, Ulsoor, Bangalore-560008","Few Left, Book Now",Private,9492098131
Bellona Nursing Home And Diagnostic Centre Private Limited,"51 A, Diamond, Harbour Road, Mominpur Crossing.",Unknown,Unknown,9672092033
Belokar Hospital,Vijay Colony Rukhmini Nagar,Unknown,Unknown,9726596653
Bembde Hospital,"14, Beed By Pass Road, Near Shahanoorwadi Rly Crossing, Satara Parisar, Aurangabad, Maharashtra",Unknown,Unknown,9047407081
Benaka Health Centre,"Lhh Road,Near Jyothi Takies,Mangalore-575003",Unknown,Unknown,9308272556
Bendre Hospital And Maternity Home,"7375,Deshmukhwadi,Sarjapura",Unknown,Unknown,9971584875
Bensups Hospital,"Bensups Avenue,Sector-12, Dwarka Metro Station",Unknown,Unknown,9911491238
Benuban Health Care & Diagnostic Centre,"Bultikuri,Near Japani Gate Esi Hospital",Unknown,Unknown,9932270308
Benzer Nursing Home,"2Nd Cross Road,Lokhandwala Complex,Andheri West","Few Left, Book Now",Private,9387409499
Beri Maternity Centre,"G.T.Road Putlighar,Amritsarganga",Available,Government,9739967931
Bethany Hospital,"Next To Glaxo,Opp. Ma Niketan,",Unknown,Unknown,9260955119
Bethel Hospital (P) Ltd,"# 223, Dr. Rajendra Prasad Road.",Unknown,Unknown,9249562486
Better Health Pvt Ltd,"Pallav J.M. Desai Memorial Hospital, Maninagar East.",Unknown,Unknown,9849931352
Better Sight & Research Centre,"Sector 7,B/29-004,Shantivagar,Mira Road East,Thane","Few Left, Book Now",Private,9512335829
Bgm Hospital,"1/249,New Nathan Road,Iyyer Bungalow",Unknown,Unknown,9087131976
Bgs Global Hospital,"#67,Uttarahalli Road,Kengeri",Unknown,Unknown,9335625129
Bhadra Nursing Home,Gandhinagar,Unknown,Unknown,9911176337
Bhagat Chandra Hospital (A Unit Of Bhagat Hospitals (P) Ltd.),"Rz-F1/1, Mahavir Enclave, Near Dwarka Airport Flyover, New Delhi.","Few Left, Book Now",Private,9665202710
Bhagat Hospital,"D-2/48-49, Janakpuri, New Delhi","Few Left, Book Now",Private,9534423041
Bhagat Nursing Home,Ganesh Nivas 2Nd Floorpai Nagar,Unknown,Unknown,9638304819
Bhagavathi Multi Speciality Hospital,"L-168, 6Th Sector, Hsr Layout, Bangalore-560102","Few Left, Book Now",Private,9086533245
Bhagawati Netralaya,Manik Chowk Chakan Tal Khed,Unknown,Unknown,9506606636
Bhagirathi Hospital,"Hanuman Bazar,Kamakshyanagar",Unknown,Unknown,9514412616
Bhagwan Mahaveer Cancer Hospital And Research Centre,"Jawaharlal Nehru Marg, Near Saras Dairy.",Unknown,Unknown,9642035444
Bhagwan Mahaveer Darshan Eye Hospital,"Opp. K.R. Mills, Mysore Bangalore Road, Siddalingapura, Mysore-570003","Few Left, Book Now",Private,9645642539
Bhagwan Mahaveer Eye Hospital,"# 142, M.S. Koil Street, Royapuram.",Unknown,Unknown,9709543218
Bhagwan Mahaveer Jain Heart Centre( A Unit Of Srinivasa Cardiology Centre Pvt Ltd),"#8,Millers Tank Bund Road Near Cantonment Railway Station",Unknown,Unknown,9995359411
Bhagwan Mahaveer Jain Hospital,"No.17, Millers Road, Vasanthnagar, Bangalore-560052","Few Left, Book Now",Private,9661323770
Bhagwan Mahaveer Jain Netralaya,"#3, Railway Platform Road,Sheshadripuram, Policestation Opp. Roadsheshadripuram",Unknown,Unknown,9475920513
Bhagwan Mahavir Hospital,"Sector-14, Ext., Rohini, Madhuban Chowk.",Unknown,Unknown,9066079003
Bhagwat Maternity And Nursing Home,"Court Road,Sagar",Unknown,Unknown,9043795639
Bhagwati Healthcare Pvt Ltd,"Plot # 2, Rameshwadi, Kulgaon Badlapur Road, Badlapur West",Unknown,Government,9057025078
Bhagwati Hospital,"Cs/Ocf 6 , Sector 13 Rohininear Printers Apt",Unknown,Unknown,9316972109
Bhagwati Urology Hospital,"Amrish Complex,4Th Floor,Gurudwara Road, Indira Marg.",Unknown,Unknown,9497150584
Bhagyoday Tirth Hospital,Khurai Road,Unknown,Unknown,9783308603
Bhagyojaya Hospital,Indapur Road,Unknown,Unknown,9422915046
Bhailal Amin General Hospital,Bhailal Amin Marg Gorwabaroda,Unknown,Unknown,9591966411
Bhakti Hospital,"Pune Nagar Road,Sanaswadi Chowk","Few Left, Book Now",Private,9276068081
Bhaktivedanta Hospital,"Sector-1, Srishti Complex, Mirthane","Few Left, Book Now",Private,9825615024
Bhalerao Ent Hospital,"Ganaraj Complex,2Nd Floor,# 3,Near Mahaslkant Chowk,Akurdi",Unknown,Unknown,9818462456
Bhandari Hospital,"204, Ligh,",Unknown,Unknown,9541783652
Bhandari Hospital & Research Centre,"Gf-21,22,23 Scheme # 54, Vijay Nagar",Unknown,Unknown,9880912639
Bhandari Hospital & Research Centre(A Unit Of Bhandari Health Care Pvt .Ltd),"138-A, Vasundhara Colony,Gopalpura By-Pass,Tonk Road,Gopalpura By-Pass, Tonk Road,",Unknown,Unknown,9116136295
Bhandari Maternity & Nursing Home,"5,Dhanlaxmi Society,Sinhagad Road",Unknown,Unknown,9066134338
Bhandari Polyclinic Pvt Ltd,"#659, Napier Town,",Unknown,Unknown,9336055535
Bhanu Nursing Home,"69/5B, Bommanahalli, Hosur Rd,Bangalore","Few Left, Book Now",Private,9047280533
Bharani Paventhan Multi Speciality Hospital,"74, Sampath Nagar Erode Tamilnadu",Unknown,Unknown,9337010295
Bharat Hospital And Research Centre,"Patrakar Colony, Near Ranital Chowk",Unknown,Unknown,9319418243
Bharat Surgical & Maternity Centre,"Handiaya Road, 5 No Street.",Unknown,Unknown,9559493259
Bharat Vikas Parishad Hospital Research Centre,"Pratapnagar, Dada Bari.",Unknown,Unknown,9027528821
Bharath Hospital,"Azad Lane ,Thirunakkara",Unknown,Unknown,9911540343
Bharath Hospital,"# 72, I St Main Road,Nanganallur",Unknown,Unknown,9319487904
Bharath Hospital & Institute Of Oncolgy,"# 438, Outer Ring Road, Hebbal.",Unknown,Unknown,9196287843
Bharath Nursing Home,"# 1402, Near Vegitable Market, J.P Nagr 1St Phase, Bangalore-560078Kanakapura Main Road.","Few Left, Book Now",Private,9469507564
Bharath Rural Hospital & Training Centre,"Kuriapilly,Moothakunnam",Unknown,Unknown,9328662419
Bharathi Hospital,"1/82, R.S. Road, Kadapa-516001",Unknown,Unknown,9839012811
Bharathi Hospital,"14-24-1, Men'S Hostel Road, Maharanipet, Visakhapatnam-530002",Limited Seats,Municipal,9993514426
Bharathi Hospital,Dr.Bharathi Ravindranath Bajab Soaw Room,Unknown,Unknown,9601808041
Bharathi Hospital,"4Th Cross,Barkline Road, K.R. Extension, 4Th Cross, Tumkur-572101",Unknown,Unknown,9305207843
Bharathi Hospital,"# 592/2,Sri Renga Palayam,Rajapalayam",Unknown,Unknown,9096917959
Bharathy Hospital,"#4,Nagarabhavi Main Road,Prashanth Nagar",Unknown,Unknown,9936277637
Bharatiya Arogya Nidhi Sheth Kantilal C. Parikh General Hospital,"N.S.Road.No.13, Jupds, Mumbai, Maharashtra","Few Left, Book Now",Private,9235757198
Bhardwaj Hospital,"Nh-1, Sector-29,Gautam Budh Nagar",Unknown,Unknown,9731966967
Bhardwaj Nursing Home,"Beside Bus Stand,Rtc,Thorrur,",Unknown,Unknown,9614437124
Bhargava Hospital,"15/263, Civil Lines, Kanpur",Limited Seats,Municipal,9851028513
Bhargava Hospital & Research Centre,"Kohli Mohalla Jhalrapatan,Jhalawar",Unknown,Unknown,9064550977
Bhargava Nursing Home,"Magarpara Road,",Unknown,Unknown,9697523486
Bhargava Nursing Home,"Gopal Bhuvan, Tagore Road, Santacruz(W), Mumbai","Few Left, Book Now",Private,9832639428
Bharti Eye Foundation,"1/3,East Patel Nagar,Newdelhi","Few Left, Book Now",Private,9766342488
Bhartiya Maternity & Nursing Home,"3-12-65,Raja Bazar Jinsi Road",Unknown,Unknown,9145624280
Bhartiya Maternity & Nursing Home Pvt Ltd,"#27,Manjeet Nagar,Opp Akashwani Chowk Jalna Road",Unknown,Unknown,9151732110
Bharucha Hospital,"Anjana Park Complex,Subhanpura Main Road",Unknown,Unknown,9378976993
Bhaskara Hospital,"Shapurnagar Main Road,Near Sai Bhavani Hospital",Unknown,Unknown,9006376708
Bhaskara Hospital,"Hno-C-11-13-154/1/1,Road#1,Dwarakanagar Colony,Saroornagar,Ranga Reddy",Unknown,Unknown,9729549138
Bhate Hospital And Maternity Home Chikodi,"#1243, Basaveshwar Circle, Chikodi, Belgaum-591201",Unknown,Unknown,9183303582
Bhatia General Hospital,"Tukaram Javji Road, Tardeo, Mumbai, Maharashtra","Few Left, Book Now",Private,9295090991
Bhatia Global Hospital & Endosurgery Institute,"307 &308, Ambica Viharpaschim Vihar",Unknown,Unknown,9663134797
Bhatia Orthopaedic & Maternity Nursing Home,"# 390-Sector 7B, Faridabaddelhi","Few Left, Book Now",Private,9199108809
Bhatiya Hospital,"'Dwarka'Deshpande Lane,Main Road,Chopda",Unknown,Unknown,9016629372
Bhatti Eye Clinic,"# 22, Amar Mansion,Sion Trombay Road, Mumbai.","Few Left, Book Now",Private,9582396637
Bhavana Nursing Home,Mysore Bank Road,Available,Government,9698933214
Bhavsar Surgical & Maternity Hospital,"Near Church, Panjera Pole, Above Bombay Cold Drinks Medaopp.Bank Of Baroda",Unknown,Unknown,9303876744
Bhavya Hospital,"Plot No.65,Road No.5,New Samathapuri Colony,Na",Unknown,Unknown,9533161749
Bhide Hospital,"# 18, Laxmi Park, Navi Pethnavi Peth, Pune-411030.","Few Left, Book Now",Private,9722779787
Bhimavaram Hospitals Ltd,J.P. Road Bhimavaramwest Godavary,Unknown,Unknown,9111101617
Bhola Hospital,"Railway Road, Kurukshetra",Unknown,Unknown,9605852909
Bhola Hospital,"# 12/13, Lowther Road,Dar Bhanga Colony,Darbhanga Colony, Allahabad.",Unknown,Unknown,9739074997
Bhopal Charitable Hospital,"Noor Mahal Road,Chowki Imambadachowki Imambaba, Bhopal-462001",Unknown,Unknown,9046711419
Bhopal Eye Hospital,"# 29, Rajdev Colony, Barasia Road",Unknown,Unknown,9915507930
Bhopal Heart & General Hospital,"H3 B Sector, Sonagiri",Unknown,Unknown,9976658406
Bhubaneswar Medical Research Institute & Nursing Home,"Plot #-1,Bda District Centre,Chandrasekharpur",Unknown,Unknown,9407700729
Bhupal Hospital & Research Centre,"#159, College Road, Adjacent To Ganaga Plaza.",Unknown,Unknown,9866894676
Bibi Ayesha Mili Hospital,"242, Old Mysore-Bangalore Rd,Mysore","Few Left, Book Now",Private,9263090617
Bibi General Hospital & Cancer Centre,"16-3-991/1/C Govt Printing Press, Marketgovt. Printing Press Road",Unknown,Unknown,9827503896
Bikaner Nursing Home,Pawan Puri,Unknown,Unknown,9959510250
Bilagi Hospital & Research Centre,Opp Nehru Stedium Main Gate,Unknown,Unknown,9156096849
Billroth Hospital Limited,"#43, Lakshmi Takis Rd,Shenay Nagarshenoy Nagar, Chennai","Few Left, Book Now",Private,9382067411
Billroth Hospitals - Ra Puram,"#52, 2Nd Main Road, Raja Annamalai Puram,Raja Annamalai Puram",Unknown,Unknown,9389305487
Bilva Hospital,"No. 21, 22, 2Nd Main Palace Guttahalli, Bangalore-560003, Near Vinayaka Circle","Few Left, Book Now",Private,9030662517
Bimal Hospital,"17/1,Near Bhuto Wali Gali",Unknown,Unknown,9499687856
Bimla Devi Hospital,"# 5, Pocket B, Ocf Mayur Vihar Phase Iiphase-11, Delhi-110091.","Few Left, Book Now",Private,9067307104
Bindu Nursing Home,"Sudarshan Nager,Chinchwad",Unknown,Unknown,9427518221
Bindubasini Nursing Home,"76, Madhusudan Banerjee Road, Birati",Unknown,Unknown,9823768933
Birajdar Hospital,"Ninali Vasti Road, Solapur,Maharashtra-413001",Unknown,Unknown,9176180366
Birati Nursing Home Pvt Ltd,"No.2,Gopal Jew Mandir Road,Birati,24 Parganas(North),",Unknown,Unknown,9945261483
Birmole Hospital,"No.118/1,Cuf Road,Cuf Nagar,Panvel,Opp Royal Cosmo Club",Unknown,Government,9829943136
Bishop Alapatt Mission Hospital,Karanchira Kattoor P.O,Available,Government,9813970367
Bishop Benziger Hospital,Beach Road Kollam-691001,Unknown,Unknown,9246481455
Blk Memorial Hospital,"Pusa Road,Near Rajendra Place Metro Station",Unknown,Unknown,9935001669
Bobade Accident Hospital,"Bobade Accident Hospital, Baramati",Unknown,Unknown,9318462690
Bodyline Hospitals (A Unit Of Kidneyline Healthcare Pvt Ltd),"Opp. Annapurna Hall, Near Dev Status, New Vikas Gruh Road, Paldi, Ahmedabad.","Few Left, Book Now",Private,9695167015
Bollineni Heart Centre Pvt Ltd,"#77-7-77/1,Seelam Nookaraju Complex Road,Katari Gardens,Rajahmundry",Unknown,Unknown,9130869324
Bollineni Hospitals (A Unit Of Krishna Institute Of Medical Sciences Limited),"#77-7-77/1, Seelam Nookaraju Complex Katari Gardens,",Unknown,Unknown,9367603960
Bollineni Ramanaiah Memorial Hospital & Pvt Ltd,"Dargamitta,Nellore",Unknown,Unknown,9592325746
Bollineni Ramanaiah Memorial Hospitals Pvt. Ltd,"Dargamitta,Nellore",Unknown,Unknown,9128444245
Bombay Hospital,"Ida - Scheme ,No .94/95Ring Road ,",Unknown,Unknown,9422601878
Bombay Hospital & Research Centre,"Near Saurabh Hotel,Avas Vikas Road,Near Comfort Inn Saurabh Hotel",Unknown,Unknown,9549213920
Bombay Hospital & Research Centre Jabalpur,"906-Gol Bazar, Jabalpur, Madhya Pradesh, Shaheed Smarak Ground.",Available,Government,9667900986
Bombay Hospital And Research Centre,"#12,New Marine Lines,Mumbai","Few Left, Book Now",Private,9147186213
Bommidala Cancer Institute,Peda Kakani.,Unknown,Unknown,9143393207
Bone And Joint Hospital & Research Centre Pvt Ltd,"3, Shyam Nagar, Near Radha Krishna Mandir, Pal Link Road Jodhapur (Rajasthan) India-342003",Unknown,Unknown,9327602401
Bopal Eye Care Centre,"Off-Bs-22To25, B Wing, 2Nd Floor, Ahmedabad, Amrapali Mall, Bopal City Gold Theatre","Few Left, Book Now",Private,9781997950
Bopal Multispeciality Hospital Pvt Ltd,"1St First Floor,Abhinandan Complex, Opp-Inductotherm, Bopal , Ahmedabad","Few Left, Book Now",Private,9360167334
Boppana Super Speciality Hospital,"Machilipatnam Road, Poranki, Vijayawada, Andhra Pradesh.",Limited Seats,Municipal,9025815804
Bora Ent Hospital,"#2/4,Neeta Park Air Port Road,Yerwada",Unknown,Unknown,9122254802
Bora Hospital,"#589, Ganesh Peth,Dhor Galli",Unknown,Unknown,9335210511
Brahm Shakti Hospital,"U-1/78, Budh Vihar, Phase-1, Main Kanjhawala Road, Delhi-110086","Few Left, Book Now",Private,9691605022
Brahm Shakti Sanjivani Hospital,Opp:Telephe Exchangedist Jharjjar,Unknown,Unknown,9121578261
Brahma Nursing Home,"Nadangadda, Karwar.",Unknown,Unknown,9640156686
Brahmaputra Diagnostics & Hospital Ltd,"Bordoloi Avenue,Patian Bazar, Near Circuit House & Assam Medical College, Dibrugarh-786001",Unknown,Unknown,9721649611
Brain & Spine Hospital,"Blue Star Complex,Near Under Bridge,Income Tax,Navrangpur",Unknown,Unknown,9798484906
Breach Candy Hospital,60-A Bhulabhai Desai Road,Unknown,Unknown,9999046408
Brij Medical Center,"Kk 54, Kavi Nagar,Ghaziabad (Up)","Few Left, Book Now",Private,9324205493
Brij Medical Centre Pvt Ltd,"# 94, E-Block, Near Panbi Police Station.",Unknown,Unknown,9935139248
Brijlal Hospital & Research Centre Pvt Ltd,"Anandi Tower,Nainital Road",Unknown,Unknown,9952194152
Brijmohan Taori Memorial Hospital,"Mo-1, Silver Palace, Dhantoli,Nagpur-440012",Limited Seats,Municipal,9044819847
Bristlecone Hospitals Private Limited,"3-4-136/A,Street #6 Barkatpurbarkhatpura Branch",Unknown,Unknown,9651662602
Brookefield Hospital (A Unit Of Sanjeevini Healthcare),"#521, 522, Vijaylakshmi Square, Itpl Main Road, Kundalahalli, Bangalore-560037Kundalahalli","Few Left, Book Now",Private,9224663524
Brrighton Kavita Hospital,"5,Sector-29,Opp Huda Market, Faridabad , Haryana","Few Left, Book Now",Private,9084034745
Brs Hospital Pvt.Ltd,No.28. Cathedral Garden Roadcathedral Gardens Road,Unknown,Unknown,9500298650
Brundavan Nursing Home,"# 24/588- Railway Station Road, Rajavari Centre.",Unknown,Unknown,9246627458
Brws Hospital,"Kendua Main Road,",Unknown,Unknown,9935342922
Bses Mg Hospital,"Sv Road, Andheri (W), Opp Andheri Rly Stn, Maharashtra","Few Left, Book Now",Private,9211459693
Bsr Ent Nursing Home,"Sd Road,Karancentre",Unknown,Unknown,9016292201
Burute Hospital,"Near Rupee Co-Op Bank,Opp Pune-Nashik Highway","Few Left, Book Now",Private,9575550071
Burute Hospital,"B,2-3,Laxmi Classic Poona Alandi Road, Mohanwadi Near Vishrantwadi,Yerwada",Unknown,Unknown,9771758256
C.A.Hospital,"#339/340/341/15,Deson,Kumnnumpuram,Aluva",Unknown,Unknown,9012754101
C.F. Sheth Memorial Hospital,"Shalimar Complex, Station Road",Unknown,Unknown,9965765597
C.K. Hospital,"# 41, Balasubbarayalu Streeterode",Unknown,Unknown,9046022702
C.K.Memorial Kapoor,"3B/8A,Nit,Nh-3,Dav College Road",Unknown,Unknown,9259298267
C.R.Reddy Hospital,"13/264,Hospital Road,Gudur",Unknown,Unknown,9951321839
C.S.I. Hospital,"C.S.I. Hospital Road,Kolar.",Unknown,Unknown,9388112711
C.S.I. Kalyani General Hospital,"15, Dr Radhakrishnan Salai, Mylapore, Chennai-600004, Next To City Centre","Few Left, Book Now",Private,9819377745
C.S.I. Lombard Memorial Hospital,Mission Hospital Road,Unknown,Unknown,9735413220
C.S.I. Rainy Multi-Speciality Hospital,"#45, G.A. Road Chennai","Few Left, Book Now",Private,9169522938
C.S.I. Redfern Memorial Hospital,"Race Course Road, P.O Box No.127.",Unknown,Unknown,9842918742
C.S.M Nursing Home,"# 18, Rukmani Street,West Mambalam",Unknown,Unknown,9814265170
C.V.R Hospital,"H No:10-1-7,1St Lane,Sambasivapet,",Unknown,Unknown,9322760798
Calcutta Lions Netra Niketan (Unit Of Lions Club Of Calcutta Trust),"1/2/A/2,Uday Sankar Sarani, Golf Green, Near Golf Green Door Darshan Kendra,South 24 Parganas",Unknown,Unknown,9096124030
Calibre Medical Centre (Cmc),"1-11-240/2D, Shyamlal Buildings Begumpet",Unknown,Unknown,9799245290
Canara Health Care Limited,"Baggon Road,",Unknown,Unknown,9442304809
Capitol Nursing Home Pvt Ltd,"288/2 Ap C Road,(Ps Narkeldanga)(P S Narkeldanga)",Unknown,Unknown,9545660396
Cardinal Gracious Memorial Hospital Trust,"Sandor, Bangli Naka, Vasai West, Thane - 401201","Few Left, Book Now",Private,9545368698
Care And Cure Hospital,"Surendra Nath Road, Nabapally,Barasat Dt,24Parg North,West Bengalbarasatdist 24 Parg(N)",Unknown,Unknown,9759101750
Care Hospital,"No.6-3-248/1/1A, Road No.01, Banjara Hills, Hyderabad-500034","Few Left, Book Now",Private,9490105317
Care Hospitals,"Near Clocl Tower,Adjacent Laneto Westely Church, Market Stre",Unknown,Unknown,9738994038
Care Hospitals (A Unit Of Quality Care India Limited).,"Exhibition Road Hyderabad-500001, Near Mazam Jahi Market","Few Left, Book Now",Private,9650398665
Career Institute Of Medical Sciences(Cims),"Career College Campus,Govindpura, Bhelgovindpura, Bhel, Bhopal.",Unknown,Unknown,9037290393
Carewell Heart & Super Speciality Hospital,"Model Town, G-T. Road,Near Raiway Station,Amritsar",Available,Government,9263105282
Carewell Hospital,"#471, Adarsh Nagar.",Unknown,Unknown,9344471428
Carewell Hospital & Research Centre,"Nullipady, Kasargod,Kerala - 671 121",Unknown,Unknown,9657735306
Carmel Hospital,"Asokapuram,P.O",Unknown,Unknown,9183974422
Cauvery Hospital,"# 756, New Kantharaje Urs Roadsaraswathipuram Mysore",Available,Government,9944608890
Cauvery Hospital,"Terission College Road,Bannur Road,Shidharthnagar",Unknown,Unknown,9299832857
Cauvery Orthopaedic Centre,"#408,20Th Main,W.O.C.Road,1St Block,Rajajinagar",Unknown,Unknown,9508763883
Cauvery Trust Hospital,"No.36,Ponnankinaru Street,Villivakkam,",Unknown,Unknown,9968952554
Ccmk Hospital,"Ccmk Village,Vellikulam Road,Chalakudy",Unknown,Unknown,9807822753
Cdr Medical Centre,"Jayanagar, B'Lore",Unknown,Unknown,9467523173
Central Avenue Critical Care Hospital & Iccu,"Mahalaxmi Complex, Central Avenue Roaddarodkar Square, Central Avenu",Unknown,Unknown,9744473761
Central Hospital,"A-142/1, Ganesh Nagar P.O,Tilak Nagartilak Nagar, New Delhi-110018.","Few Left, Book Now",Private,9347193344
Central Hospital,"Masoodabad Crossing,G.T. Road, Aligarh-202001.",Unknown,Unknown,9133781443
Centre For Knee Surgery,"101/3,Akashganga Complex,Race Couse Circle",Unknown,Unknown,9837155730
Centre For Sight,"B-5/24, Oppsite Deer Park Safdarjung Enclave,",Unknown,Unknown,9783703910
Centre For Sight (A Unit Of New Delhi Centrre For Sight Pvt Ltd),"#35,Phase-7,",Unknown,Unknown,9555499619
Centre For Sight (Agra),"116, Delhi Gate, Agra. U.P","Few Left, Book Now",Private,9131821702
Centre For Sight (Gurgaon),"Sco Complex-317, Sec-29, Gurgaon","Few Left, Book Now",Private,9178336903
Centre For Sight (Hisar),"Centre For Sight At Gayatri Eye Care Institute,1Model Town, Jindal Chowk, Hissarhisar",Unknown,Unknown,9111814870
Centre For Sight (Jammu),"228, Bc Road, Rehari Chungi, Jammu.",Available,Government,9974915010
Centre For Sight (Jodhpur),"At Ram Rishi Laser Centre, 562, 7Thc Road, Sardarpura, Near Satsang Bhawan.",Unknown,Unknown,9513222535
Centre For Sight (Ludhiana),"1St Floor, Sandhu Tower,Bxx-3369, Ferozpur Road,",Unknown,Unknown,9843645872
Centre For Sight (Moradabad),"At Vivekanand Hospital &Research Centre, Kanth Road, Moradabad",Unknown,Unknown,9075748929
Centre For Sight (Preet Vihar),"F-19 Vikas Marg,Preet Vihar,Nr Preet Vihar Metro Station,Delhipreet Vihar","Few Left, Book Now",Private,9428073929
Centre For Sight (Rajouri),"J-12/30, Rajouri Garden, New Delhi","Few Left, Book Now",Private,9877794847
Centre For Sight (Rohini),"304-309, Ring Road Mall, Sector-3, Rohini,",Unknown,Unknown,9993009022
Centre For Sight (Roopnagar),"1/2. Roop Nagar, New Delhi,","Few Left, Book Now",Private,9597867881
Centre For Sight-Chandigarh,"Sco 833-834, Sector -22-A Chandigarh, Punjab",Available,Government,9423815505
Centre For Sight-Dwarka,"Plot No-20, Dwarka Sector 12 A, Opposite Bal Bharti School, Dwarka, New Delhi","Few Left, Book Now",Private,9512736286
Centre For Sight-Faridabad,"At-Sunflag Hospital, Sector 16-A, Faridabad, Haryana","Few Left, Book Now",Private,9804244089
Centre For Sight-Indore,"Plot No. 124, Sector-Ab, Scheme:-54, Indore, Madhya Pradesh",Available,Government,9927353686
Centre For Sight-Patiala,"Dr. Saronwala Complex, Jagdish Ashram Road, Near Rajinder Hospital, Patiala, Punjab.",Unknown,Unknown,9276728183
Century Hospital,Mulakuzha P.O,Unknown,Unknown,9091005359
Cfs Netralaya Pvt Ltd Meerut (Centre For Sight),"E K Road, Opp:Nas College, Meerutmeerut",Limited Seats,Municipal,9961067957
Cfs Netralaya Pvt. Ltd. (A Unit Of New Delhi Centre For Sight Pvt Ltd),"#194/15,Opp Adwaysworkshop,Delhi Road,","Few Left, Book Now",Private,9776863385
Ch. Chhaju Ram Hospital (Aunit Of Holy Touch Healthcare Pvt Ltd),"Wz-1, Om Viha, Uttam Nagar Main Najafgarh Road, New Delhi -110059","Few Left, Book Now",Private,9542713346
Chaddha Children Hospital & Nursing Home,"No.121,Guru Harkishan Nagar,Paschim Vihar,",Unknown,Unknown,9771046842
Chahal Hospital,"Bibiwala Road,Bathinda",Unknown,Unknown,9486696281
Chaitanya Ent Hospital,"38/685A, Sahodaran Ayyappan Road, Cochin-682016",Unknown,Unknown,9563809892
Chaitanya Eye Hospital,Tikkle Road Mogalrajpuram,Unknown,Unknown,9317464615
Chaitanya Eye Hospital & Research Instt,"Trichandur, Ernakulam,Ernakulam",Unknown,Unknown,9527954528
Chaitanya Hospital,Site No. 1&2 Sector 44/C Chandigarh-160044Chandigarh,Available,Government,9060653927
Chaitanya Hospital,"No. 80, 3Rd Cross,P & T Colony,R.T.Nagarr.T. Nagar,Bangalore-560036.","Few Left, Book Now",Private,9634164509
Chaitanya Hospital,"Bhagirathi Nagar, Warje Malwadi.",Unknown,Unknown,9171271766
Chaitanya Hospital,"Near Chinchwadgaon Police Chowky,Chapekar Chowk,Chinchwad,",Unknown,Unknown,9894582522
Chaitanya Hospital,"A/P-Koregaon Bhima, Tal. Shirur, (Pune), Maharashtra","Few Left, Book Now",Private,9923668570
Chaitanya Medical Centre,"# 771/24, Khb , Asector, Yelahanka, Bangalore, Karnataka","Few Left, Book Now",Private,9997403422
Chaitanya Nursing Home,"Poona Link Road, Kalyan East, Thane","Few Left, Book Now",Private,9108186487
Chaithanya Eye Hospital & Research Institute,"Ravipuram Road, Ravipuram, Kochi-682016, Eranakulam",Limited Seats,Municipal,9352268380
Chaithanya Eye Hospital & Research Institute,"M.G. Road, Kesavadasapuram, Trivandrum, Kerala-695004",Available,Government,9731905573
Chaithanya Multispeciality Hospital,"Plot No:357&358, Prashanthnagar,Vanasthalipuram, Near Panama Godowns, Hyderabad-500070","Few Left, Book Now",Private,9233348090
Chaitra Hospital,"# 16/84, 15Th Cross, Basaweshwara Blockk.R. Nagar, Basavaswara Block,",Unknown,Unknown,9906152645
Chakrabarthy Medical Centre,"Opp: Gurudwara Nagar, Near Aurangabad Road,Ahmednagar-414001",Unknown,Unknown,9755180901
Chakrabarti Eye Care Centre,"No.102, Kochulloor, Near Lerala Water Authority Office, Trivandram-695011",Unknown,Unknown,9489669292
Chakravarty Nursing Home,"# 207, Sector-10, Panchkula,Haryana-134113",Unknown,Unknown,9394780660
Chalasani Hospital,"12-12-94/A,Old Club Road,Kothapeta",Unknown,Unknown,9405618219
Chalasani Hospitals Pvt. Ltd.,"50-53-4, Gurudwaralane, Seethammadhara, Visakhapatnam-530013, Beside A.P.E.P.D.L.L Corporate Office",Limited Seats,Municipal,9351419814
Challa Eye Care Centre,"8-2-268/R/9-P,Sagar Society Main Road,Road # 2,Banjara Hills",Unknown,Unknown,9049515411
Challa Hospital,"7-1-71/A/1, Dharam Karan Road, Ameerpet, Hyderabad-500016","Few Left, Book Now",Private,9393563911
Chandak Nursing Home,"Supermarket Sita Building,Nagpur-440012.",Limited Seats,Municipal,9768506731
Chandan Hospital & Icu,"Navarang Talkies Compound, Raopura, Baroda-390001",Unknown,Unknown,9740281805
Chandana Hospital,"#54, 4Th Cross, 4Th Main, Ngefnrupathunganagar, Nagarbhavi,",Unknown,Unknown,9384812799
